# generated by unwrap_scan from RustPython @ 3290f287f (regenerate: cargo run --release -- $RUSTPYTHON_ROOT)
# module	name	kind	reachable	pattern	file:line
sys	__breakpointhook__	fn	py	unwrap	crates/vm/src/stdlib/sys.rs:874
zlib	compress	fn	py	unwrap	crates/stdlib/src/zlib.rs:103
zlib	compress	fn	py	unwrap	crates/stdlib/src/zlib.rs:104
zlib	compressobj	fn	py	unwrap	crates/stdlib/src/zlib.rs:367
_ast	NodeAst.init	protocol	protocol	unreachable	crates/vm/src/stdlib/_ast/python.rs:534
_ast	NodeAst.py_new	protocol	protocol	unreachable	crates/vm/src/stdlib/_ast/python.rs:376
_ast	NodeAst.slot_init	protocol	protocol	unwrap	crates/vm/src/stdlib/_ast/python.rs:445
_collections	PyDeque.as_number	protocol	protocol	unwrap	crates/vm/src/stdlib/_collections.rs:489
_collections	PyDeque.repr_str	protocol	protocol	unreachable	crates/vm/src/stdlib/_collections.rs:598
_contextvars	ContextToken.py_new	protocol	protocol	unimplemented	crates/stdlib/src/contextvars.rs:594
_contextvars	ContextVar.py_new	protocol	protocol	unimplemented	crates/stdlib/src/contextvars.rs:500
_csv	Reader.next	protocol	protocol	unwrap	crates/stdlib/src/csv.rs:1106
_csv	Reader.next	protocol	protocol	unwrap	crates/stdlib/src/csv.rs:1110
_csv	Reader.next	protocol	protocol	unwrap	crates/stdlib/src/csv.rs:1161
_ctypes	PyCArray.as_buffer	protocol	protocol	expect	crates/vm/src/stdlib/_ctypes/array.rs:1006
_ctypes	PyCArray.py_new	protocol	protocol	unimplemented	crates/vm/src/stdlib/_ctypes/array.rs:445
_ctypes	PyCArrayType.init	protocol	protocol	unwrap	crates/vm/src/stdlib/_ctypes/array.rs:296
_ctypes	PyCFuncPtr.as_number	protocol	protocol	unwrap	crates/vm/src/stdlib/_ctypes/function.rs:1748
_ctypes	PyCFuncPtr.py_new	protocol	protocol	unimplemented	crates/vm/src/stdlib/_ctypes/function.rs:862
_ctypes	PyCFuncPtr.slot_new	protocol	protocol	args-index	crates/vm/src/stdlib/_ctypes/function.rs:681
_ctypes	PyCFuncPtr.slot_new	protocol	protocol	args-index	crates/vm/src/stdlib/_ctypes/function.rs:687
_ctypes	PyCPointer.as_buffer	protocol	protocol	expect	crates/vm/src/stdlib/_ctypes/pointer.rs:771
_ctypes	PyCPointer.as_number	protocol	protocol	unwrap	crates/vm/src/stdlib/_ctypes/pointer.rs:736
_ctypes	PyCPointer.py_new	protocol	protocol	unimplemented	crates/vm/src/stdlib/_ctypes/pointer.rs:277
_ctypes	PyCSimple.as_buffer	protocol	protocol	expect	crates/vm/src/stdlib/_ctypes/simple.rs:1276
_ctypes	PyCSimple.as_number	protocol	protocol	expect	crates/vm/src/stdlib/_ctypes/simple.rs:1302
_ctypes	PyCSimple.py_new	protocol	protocol	unimplemented	crates/vm/src/stdlib/_ctypes/simple.rs:1045
_ctypes	PyCSimpleType.init	protocol	protocol	expect	crates/vm/src/stdlib/_ctypes/simple.rs:560
_ctypes	PyCSimpleType.init	protocol	protocol	expect	crates/vm/src/stdlib/_ctypes/simple.rs:561
_ctypes	PyCStructType.py_new	protocol	protocol	unimplemented	crates/vm/src/stdlib/_ctypes/structure.rs:62
_ctypes	PyCStructure.py_new	protocol	protocol	unimplemented	crates/vm/src/stdlib/_ctypes/structure.rs:704
_ctypes	PyCUnion.py_new	protocol	protocol	unimplemented	crates/vm/src/stdlib/_ctypes/union.rs:573
_ctypes	PyCUnionType.py_new	protocol	protocol	unimplemented	crates/vm/src/stdlib/_ctypes/union.rs:63
_functools	PyPartial.py_new	protocol	protocol	unwrap	crates/vm/src/stdlib/_functools.rs:368
_io	BufferedRWPair.del	protocol	protocol	unreachable	crates/vm/src/stdlib/_io.rs:2316
_io	BufferedRandom.del	protocol	protocol	unreachable	crates/vm/src/stdlib/_io.rs:2212
_io	BufferedReader.del	protocol	protocol	unreachable	crates/vm/src/stdlib/_io.rs:2034
_io	BufferedWriter.del	protocol	protocol	unreachable	crates/vm/src/stdlib/_io.rs:2138
_io	TextIOWrapper.del	protocol	protocol	unreachable	crates/vm/src/stdlib/_io.rs:4059
_io	TextIOWrapper.iter	protocol	protocol	unreachable	crates/vm/src/stdlib/_io.rs:4123
_io	TextIOWrapper.next	protocol	protocol	unreachable	crates/vm/src/stdlib/_io.rs:4150
_io	TextIOWrapper.repr_str	protocol	protocol	unreachable	crates/vm/src/stdlib/_io.rs:4112
_io	TextIOWrapper.slot_iternext	protocol	protocol	unwrap	crates/vm/src/stdlib/_io.rs:4130
_io	_IOBase.del	protocol	protocol	unreachable	crates/vm/src/stdlib/_io.rs:598
_io	_IOBase.iter	protocol	protocol	unreachable	crates/vm/src/stdlib/_io.rs:609
_io	_IOBase.next	protocol	protocol	unreachable	crates/vm/src/stdlib/_io.rs:624
_lzma	LZMADecompressor.py_new	protocol	protocol	unwrap	crates/stdlib/src/lzma.rs:611
_os	ScandirIteratorFd.next	protocol	protocol	expect	crates/vm/src/stdlib/os.rs:1096
_queue	PySimpleQueue.as_number	protocol	protocol	unwrap	crates/stdlib/src/_queue.rs:302
_queue	PySimpleQueue.repr_str	protocol	protocol	unreachable	crates/stdlib/src/_queue.rs:336
_sre	Match.repr_wtf8	protocol	protocol	unwrap	crates/vm/src/stdlib/_sre.rs:873
_ssl	PySSLContext.py_new	protocol	protocol	expect	crates/stdlib/src/ssl.rs:2324
_ssl	PySSLSocket.py_new	protocol	protocol	unimplemented	crates/stdlib/src/ssl.rs:4603
_typing	ConstEvaluator.py_new	protocol	protocol	unreachable	crates/vm/src/stdlib/_typing.rs:106
_typing	NoDefault.py_new	protocol	protocol	unreachable	crates/vm/src/stdlib/_typing.rs:77
_typing	TypeAliasType.py_new	protocol	protocol	args-index	crates/vm/src/stdlib/_typing.rs:380
_typing	TypeAliasType.py_new	protocol	protocol	args-index	crates/vm/src/stdlib/_typing.rs:394
array	PyArray.cmp	protocol	protocol	unreachable	crates/stdlib/src/array.rs:1278
builtins	Frame.repr_str	protocol	protocol	unreachable	crates/vm/src/builtins/frame.rs:441
builtins	FrameLocalsProxy.py_new	protocol	protocol	unwrap	crates/vm/src/builtins/frame_locals_proxy.rs:72
builtins	PyBaseObject.init	protocol	protocol	unreachable	crates/vm/src/builtins/object.rs:152
builtins	PyBaseObject.py_new	protocol	protocol	unimplemented	crates/vm/src/builtins/object.rs:93
builtins	PyBool.py_new	protocol	protocol	unimplemented	crates/vm/src/builtins/bool.rs:95
builtins	PyBool.repr_str	protocol	protocol	unreachable	crates/vm/src/builtins/bool.rs:179
builtins	PyClassMethod.init	protocol	protocol	expect	crates/vm/src/builtins/classmethod.rs:92
builtins	PyClassMethod.py_new	protocol	protocol	unimplemented	crates/vm/src/builtins/classmethod.rs:82
builtins	PyClassMethod.repr_str	protocol	protocol	unwrap	crates/vm/src/builtins/classmethod.rs:198
builtins	PyComplex.slot_new	protocol	protocol	args-index	crates/vm/src/builtins/complex.rs:200
builtins	PyComplex.slot_new	protocol	protocol	args-index	crates/vm/src/builtins/complex.rs:202
builtins	PyDict.repr_str	protocol	protocol	unreachable	crates/vm/src/builtins/dict.rs:664
builtins	PyEllipsis.py_new	protocol	protocol	unreachable	crates/vm/src/builtins/slice.rs:392
builtins	PyEllipsis.repr_str	protocol	protocol	unreachable	crates/vm/src/builtins/slice.rs:412
builtins	PyFrozenSet.slot_new	protocol	protocol	args-index	crates/vm/src/builtins/set.rs:989
builtins	PyInt.py_new	protocol	protocol	unimplemented	crates/vm/src/builtins/int.rs:285
builtins	PyInt.slot_new	protocol	protocol	args-index	crates/vm/src/builtins/int.rs:257
builtins	PyInt.slot_new	protocol	protocol	args-index	crates/vm/src/builtins/int.rs:259
builtins	PyList.repr_str	protocol	protocol	unreachable	crates/vm/src/builtins/list.rs:633
builtins	PyMemoryView.hash	protocol	protocol	unwrap	crates/vm/src/builtins/memory.rs:1108
builtins	PyMemoryViewIterator.next	protocol	protocol	unwrap	crates/vm/src/builtins/memory.rs:1221
builtins	PyMethodDescriptor.descr_get	protocol	protocol	unwrap	crates/vm/src/builtins/descriptor.rs:78
builtins	PyMethodDescriptor.descr_get	protocol	protocol	unwrap	crates/vm/src/builtins/descriptor.rs:97
builtins	PyModule.repr_str	protocol	protocol	unreachable	crates/vm/src/builtins/module.rs:458
builtins	PyNamespace.cmp	protocol	protocol	unwrap	crates/vm/src/builtins/namespace.rs:148
builtins	PyNamespace.cmp	protocol	protocol	unwrap	crates/vm/src/builtins/namespace.rs:149
builtins	PyNamespace.repr_wtf8	protocol	protocol	unwrap	crates/vm/src/builtins/namespace.rs:166
builtins	PyNone.py_new	protocol	protocol	unreachable	crates/vm/src/builtins/singletons.rs:49
builtins	PyNone.repr_str	protocol	protocol	unreachable	crates/vm/src/builtins/singletons.rs:64
builtins	PyNotImplemented.py_new	protocol	protocol	unreachable	crates/vm/src/builtins/singletons.rs:118
builtins	PyNotImplemented.repr_str	protocol	protocol	unreachable	crates/vm/src/builtins/singletons.rs:150
builtins	PyRange.as_number	protocol	protocol	unwrap	crates/vm/src/builtins/range.rs:464
builtins	PyStaticMethod.py_new	protocol	protocol	unimplemented	crates/vm/src/builtins/staticmethod.rs:60
builtins	PyStaticMethod.repr_str	protocol	protocol	unwrap	crates/vm/src/builtins/staticmethod.rs:182
builtins	PyStr.slot_new	protocol	protocol	args-index	crates/vm/src/builtins/str.rs:403
builtins	PyStr.slot_new	protocol	protocol	args-index	crates/vm/src/builtins/str.rs:405
builtins	PyTemplate.py_new	protocol	protocol	unwrap	crates/vm/src/builtins/template.rs:63
builtins	PyTemplateIter.next	protocol	protocol	unwrap	crates/vm/src/builtins/template.rs:307
builtins	PyTemplateIter.next	protocol	protocol	unwrap	crates/vm/src/builtins/template.rs:320
builtins	PyTuple.as_number	protocol	protocol	unwrap	crates/vm/src/builtins/tuple.rs:488
builtins	PyTuple.repr_str	protocol	protocol	unreachable	crates/vm/src/builtins/tuple.rs:550
builtins	PyType.call	protocol	protocol	args-index	crates/vm/src/builtins/type.rs:2806
builtins	PyType.init	protocol	protocol	unreachable	crates/vm/src/builtins/type.rs:2590
builtins	PyType.py_new	protocol	protocol	unimplemented	crates/vm/src/builtins/type.rs:2536
builtins	PyType.slot_new	protocol	protocol	args-index	crates/vm/src/builtins/type.rs:2086
builtins	PyType.slot_new	protocol	protocol	unwrap	crates/vm/src/builtins/type.rs:2330
builtins	PyWeak.py_new	protocol	protocol	unimplemented	crates/vm/src/builtins/weakref.rs:64
builtins	PyWeakProxy.py_new	protocol	protocol	unimplemented	crates/vm/src/builtins/weakproxy.rs:60
builtins	PyWeakProxy.repr_str	protocol	protocol	unreachable	crates/vm/src/builtins/weakproxy.rs:368
builtins	PyWrapper.descr_get	protocol	protocol	unwrap	crates/vm/src/builtins/descriptor.rs:789
fileio	FileIO.del	protocol	protocol	unreachable	crates/vm/src/stdlib/_io.rs:5891
itertools	PyItertoolsCombinations.py_new	protocol	protocol	unwrap	crates/vm/src/stdlib/itertools.rs:1205
itertools	PyItertoolsCombinationsWithReplacement.py_new	protocol	protocol	unwrap	crates/vm/src/stdlib/itertools.rs:1306
itertools	PyItertoolsGroupBy.next	protocol	protocol	unwrap	crates/vm/src/stdlib/itertools.rs:657
itertools	PyItertoolsGroupBy.next	protocol	protocol	unwrap	crates/vm/src/stdlib/itertools.rs:659
itertools	PyItertoolsGrouper.next	protocol	protocol	unwrap	crates/vm/src/stdlib/itertools.rs:690
itertools	PyItertoolsIslice.next	protocol	protocol	unwrap	crates/vm/src/stdlib/itertools.rs:825
itertools	PyItertoolsPermutations.next	protocol	protocol	unwrap	crates/vm/src/stdlib/itertools.rs:1494
itertools	PyItertoolsPermutations.py_new	protocol	protocol	unwrap	crates/vm/src/stdlib/itertools.rs:1412
itertools	PyItertoolsTee.py_new	protocol	protocol	unimplemented	crates/vm/src/stdlib/itertools.rs:1035
types	T.iter	protocol	protocol	unreachable	crates/vm/src/types/slot.rs:2166
types	T.slot_iter	protocol	protocol	unreachable	crates/vm/src/types/slot.rs:2161
typevar	ParamSpec.py_new	protocol	protocol	unimplemented	crates/vm/src/stdlib/typevar.rs:689
typevar	ParamSpec.slot_new	protocol	protocol	args-index	crates/vm/src/stdlib/typevar.rs:625
typevar	TypeVar.py_new	protocol	protocol	args-index	crates/vm/src/stdlib/typevar.rs:343
typevar	TypeVar.py_new	protocol	protocol	args-index	crates/vm/src/stdlib/typevar.rs:345
typevar	TypeVar.py_new	protocol	protocol	args-index	crates/vm/src/stdlib/typevar.rs:346
typevar	TypeVarTuple.py_new	protocol	protocol	unimplemented	crates/vm/src/stdlib/typevar.rs:875
typevar	TypeVarTuple.slot_new	protocol	protocol	args-index	crates/vm/src/stdlib/typevar.rs:838
winconsoleio	WindowsConsoleIO.del	protocol	protocol	unreachable	crates/vm/src/stdlib/_io.rs:6416
winreg	PyHkey.as_number	protocol	protocol	unwrap	crates/vm/src/stdlib/winreg.rs:228
winreg	PyHkey.as_number	protocol	protocol	unreachable	crates/vm/src/stdlib/winreg.rs:242
_ast	Alias.ast_to_object	helper	internal	unwrap	crates/vm/src/stdlib/_ast/other.rs:76
_ast	Alias.ast_to_object	helper	internal	unwrap	crates/vm/src/stdlib/_ast/other.rs:77
_ast	Alias.ast_to_object	helper	internal	unwrap	crates/vm/src/stdlib/_ast/other.rs:79
_ast	Alias.ast_to_object	helper	internal	unwrap	crates/vm/src/stdlib/_ast/other.rs:81
_ast	Comprehension.ast_to_object	helper	internal	unwrap	crates/vm/src/stdlib/_ast/expression.rs:1618
_ast	Comprehension.ast_to_object	helper	internal	unwrap	crates/vm/src/stdlib/_ast/expression.rs:1619
